,Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
51,1901,-0.29342857,-0.42967388,-0.15718324
52,1902,-0.43898427,-0.5754281,-0.30254042
53,1903,-0.5333264,-0.66081935,-0.40583345
54,1904,-0.5975614,-0.7288325,-0.46629035
55,1905,-0.40775132,-0.5350291,-0.28047356
56,1906,-0.3191393,-0.45052385,-0.18775477
57,1907,-0.5041577,-0.6262818,-0.38203365
58,1908,-0.5138707,-0.63748026,-0.3902612
59,1909,-0.5357649,-0.6526296,-0.41890016
60,1910,-0.5310242,-0.6556868,-0.40636164
61,1911,-0.5392051,-0.66223973,-0.4161705
62,1912,-0.47567302,-0.5893311,-0.36201498
63,1913,-0.46715254,-0.5893755,-0.34492958
64,1914,-0.2625924,-0.38276345,-0.1424214
65,1915,-0.19184391,-0.32196194,-0.06172589
66,1916,-0.42020997,-0.5588941,-0.28152588
67,1917,-0.54301953,-0.6921192,-0.3939199
68,1918,-0.42458433,-0.58198184,-0.26718682
69,1919,-0.32551822,-0.48145813,-0.1695783
70,1920,-0.2985808,-0.44860035,-0.14856121
71,1921,-0.24067703,-0.38175339,-0.09960067
72,1922,-0.33922812,-0.46610323,-0.21235302
73,1923,-0.31793055,-0.444173,-0.1916881
74,1924,-0.3120622,-0.4388317,-0.18529275
75,1925,-0.28242525,-0.4147755,-0.15007503
76,1926,-0.12283547,-0.25264767,0.006976739
77,1927,-0.22940508,-0.35135695,-0.10745319
78,1928,-0.20676155,-0.33881804,-0.074705064
79,1929,-0.39275664,-0.52656746,-0.25894582
80,1930,-0.1768054,-0.29041144,-0.06319936
81,1931,-0.10339768,-0.2126916,0.0058962475
82,1932,-0.14546166,-0.25195515,-0.0389682
83,1933,-0.32234442,-0.4271004,-0.21758842
84,1934,-0.17433685,-0.27400395,-0.07466974
85,1935,-0.20605922,-0.30349734,-0.10862111
86,1936,-0.16952093,-0.26351926,-0.07552261
87,1937,-0.01919893,-0.11975875,0.08136089
88,1938,-0.012200732,-0.11030374,0.08590227
89,1939,-0.040797167,-0.14670466,0.065110326
90,1940,0.07593584,-0.04194966,0.19382134
91,1941,0.038129337,-0.16225387,0.23851255
92,1942,0.0014060909,-0.1952124,0.19802457
93,1943,0.0064140745,-0.19959097,0.21241911
94,1944,0.14410514,-0.054494828,0.3427051
95,1945,0.043088365,-0.15728289,0.24345961
96,1946,-0.1188128,-0.2659574,0.028331792
97,1947,-0.091205545,-0.23179041,0.04937931
98,1948,-0.12466127,-0.25913337,0.009810844
99,1949,-0.14380224,-0.2540775,-0.033526987
100,1950,-0.22662179,-0.33265698,-0.12058662
101,1951,-0.06115397,-0.15035024,0.028042298
102,1952,0.015354565,-0.08293597,0.11364509
103,1953,0.07763074,-0.020529618,0.1757911
104,1954,-0.11675021,-0.20850271,-0.024997713
105,1955,-0.19730993,-0.28442997,-0.1101899
106,1956,-0.2631656,-0.33912563,-0.18720557
107,1957,-0.035334926,-0.10056862,0.029898768
108,1958,-0.017632553,-0.083074555,0.04780945
109,1959,-0.048004825,-0.11036375,0.0143540995
110,1960,-0.115487024,-0.17416587,-0.056808177
111,1961,-0.019997388,-0.07078052,0.030785747
112,1962,-0.06405444,-0.11731443,-0.010794453
113,1963,-0.03680589,-0.09057008,0.016958294
114,1964,-0.30586675,-0.34949213,-0.26224136
115,1965,-0.2043879,-0.25357357,-0.15520222
116,1966,-0.14888458,-0.19839221,-0.09937696
117,1967,-0.11751631,-0.16062479,-0.07440783
118,1968,-0.1686323,-0.21325313,-0.124011464
119,1969,-0.031366713,-0.07186544,0.009132013
120,1970,-0.08510657,-0.12608096,-0.04413217
121,1971,-0.20593274,-0.24450706,-0.16735843
122,1972,-0.0938271,-0.13171694,-0.05593726
123,1973,0.04993336,0.013468528,0.086398184
124,1974,-0.17253734,-0.21022376,-0.1348509
125,1975,-0.11075424,-0.15130512,-0.07020335
126,1976,-0.21586166,-0.25588378,-0.17583954
127,1977,0.10308852,0.060056705,0.14612034
128,1978,0.0052557723,-0.034576867,0.04508841
129,1979,0.09085813,0.062358618,0.119357646
130,1980,0.19607207,0.162804,0.22934014
131,1981,0.25001204,0.21939126,0.28063282
132,1982,0.034263328,-0.005104665,0.07363132
133,1983,0.22383861,0.18807402,0.2596032
134,1984,0.04800471,0.011560736,0.08444869
135,1985,0.04972978,0.015663471,0.08379609
136,1986,0.09568697,0.064408,0.12696595
137,1987,0.2430264,0.21218552,0.27386728
138,1988,0.28215173,0.2470353,0.31726816
139,1989,0.17925027,0.14449838,0.21400215
140,1990,0.36056247,0.32455227,0.39657268
141,1991,0.33889654,0.30403617,0.3737569
142,1992,0.124896795,0.09088206,0.15891153
143,1993,0.16565846,0.12817313,0.2031438
144,1994,0.23354977,0.19841294,0.2686866
145,1995,0.37686616,0.34365577,0.41007656
146,1996,0.2766894,0.24318004,0.31019878
147,1997,0.4223085,0.39009082,0.4545262
148,1998,0.57731646,0.54304415,0.6115888
149,1999,0.32448497,0.29283476,0.35613516
150,2000,0.3310848,0.29822788,0.36394167
151,2001,0.48928034,0.4580683,0.5204924
152,2002,0.5434665,0.51278186,0.57415116
153,2003,0.5441702,0.5112426,0.5770977
154,2004,0.46737072,0.43433833,0.5004031
155,2005,0.60686255,0.5757053,0.6380198
156,2006,0.5725527,0.541973,0.60313237
157,2007,0.5917013,0.56135315,0.6220495
158,2008,0.46564984,0.43265733,0.49864236
159,2009,0.5967817,0.56525564,0.6283077
160,2010,0.68037146,0.649076,0.7116669
161,2011,0.53769773,0.5060012,0.5693943
162,2012,0.5776071,0.5448553,0.6103589
163,2013,0.6235754,0.5884838,0.6586669
164,2014,0.67287165,0.63890487,0.7068384
165,2015,0.82511437,0.79128706,0.8589417
166,2016,0.93292713,0.90176356,0.96409065
167,2017,0.84517425,0.81477475,0.87557375
168,2018,0.762654,0.731052,0.79425603
169,2019,0.8910726,0.85678726,0.92535794
170,2020,0.9227938,0.8882121,0.9573755
171,2021,0.7618559,0.72544336,0.79826844
172,2022,0.80128413,0.7652511,0.8373171
173,2023,0.9680127,0.88795286,1.0480726
